,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
0,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
1,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
2,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
3,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
4,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
5,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
6,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
7,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
8,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
9,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
10,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
11,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
12,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
13,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
14,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
15,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
16,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
17,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
18,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
19,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
20,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
21,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
22,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
23,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
24,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
25,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
26,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
27,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
28,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
29,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
30,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
31,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
32,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
33,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
34,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
35,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
36,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
37,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
38,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
39,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
40,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
41,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
42,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
43,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
44,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
45,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
46,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
47,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
48,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
49,Asian Paints,4.2,(4.6k Reviews),Public,"Mumbai,Maharashtra + 342 more",81 years old,10k-50k Employees (India)
50,NTT DATA,4.0,(4.6k Reviews),Private,"Chiyoda City,Tokyo + 41 more",35 years old,10k-50k Employees (India)
51,ICICI Prudential...,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 396 more",23 years old,10k-50k Employees (India)
52,HDFC Life,4.1,(5.5k Reviews),Public,"Mumbai,Maharashtra + 408 more",23 years old,10k-50k Employees (India)
53,Lupin,4.1,(4.3k Reviews),Public,"Mumbai,Maharashtra + 130 more",55 years old,10k-50k Employees (India)
54,HCL Group,3.8,(24k Reviews),Chennai + 68 more,50k-1 Lakh Employees (India),,
55,PwC,3.8,(4.2k Reviews),Partnership,London + 63 more,25 years old,10k-50k Employees (India)
56,EXL Service,3.9,(5.2k Reviews),Private,"New York City,New York + 32 more",24 years old,10k-50k Employees (India)
57,iEnergizer,4.2,(4k Reviews),Private,"Noida,Uttar Pradesh + 15 more",23 years old,10k-50k Employees (India)
58,Indian Army,4.7,(4k Reviews),Public,"New Delhi,Delhi + 267 more",128 years old,1 Lakh+ Employees (India)
59,L&T Infotech,3.8,(4k Reviews),Public,"Mumbai,Maharashtra + 66 more",27 years old,10k-50k Employees (India)
60,IndusInd Bank,3.8,(6.6k Reviews),Public,"Gurgaon/Gurugram,Haryana + 556 more",29 years old,10k-50k Employees (India)
61,Ernst & Young,3.8,(6.2k Reviews),Private,London + 72 more,21 years old,10k-50k Employees (India)
62,DXC Technology,3.9,(7k Reviews),Public,"Minato,Tokyo + 55 more",6 years old,10k-50k Employees (India)
63,Hinduja Global S...,4.0,(6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 72 more",23 years old,10k-50k Employees (India)
64,Infosys BPM,4.0,(5.8k Reviews),"Bangalore/Bengaluru,Karnataka + 48 more",21 years old,10k-50k Employees (India),
65,Maruti Suzuki,4.2,(5.8k Reviews),Public,"New Delhi,Delhi + 368 more",40 years old,10k-50k Employees (India)
66,IDFC FIRST Bank,4.0,(5.3k Reviews),Public,"Mumbai,Maharashtra + 407 more",5 years old,10k-50k Employees (India)
67,HSBC,4.1,(5.7k Reviews),Private,"Pune,Maharashtra + 52 more",21 years old,1k-5k Employees (India)
68,Bajaj Finserv,4.0,(5.2k Reviews),Public,"Pune,Maharashtra + 672 more",16 years old,10k-50k Employees (India)
69,Ericsson,4.3,(5.3k Reviews),Private,"Stockholm,Stockholm County + 128 more",147 years old,10k-50k Employees (India)
70,Conneqt Business...,3.7,(5.1k Reviews),Private,"Mumbai,Maharashtra + 164 more",21 years old,10k-50k Employees (India)
71,Mphasis,3.7,(4.8k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",25 years old,10k-50k Employees (India)
72,Startek,3.4,(4.8k Reviews),Public,"Mumbai,Maharashtra + 51 more",6 years old,10k-50k Employees (India)
73,Dr. Reddy's,4.2,(4.8k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 132 more",37 years old,10k-50k Employees (India)
74,Sutherland Globa...,3.8,(5k Reviews),Private,"Pittsford,New York + 41 more",37 years old,10k-50k Employees (India)
75,Cipla Pharmaceut...,4.1,(4.7k Reviews),Public,"Mumbai,Maharashtra + 187 more",88 years old,10k-50k Employees (India)
76,Yes Bank,4.0,(4.5k Reviews),Public,"Mumbai,Maharashtra + 357 more",19 years old,10k-50k Employees (India)
77,Jana Small Finan...,3.8,(4.5k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 314 more",17 years old,10k-50k Employees (India)
78,Udaan,4.1,(4.5k Reviews),Private,"Bangalore,Karnataka + 314 more",7 years old,1k-5k Employees (India)
